30,unemployed,married,primary,no,1787,no,no,cellular,19,oct,1,-1,0,unknown,no
33,services,married,secondary,no,4789,yes,yes,cellular,11,may,1,339,4,failure,no
35,management,single,tertiary,no,1350,yes,no,cellular,16,apr,1,330,1,failure,no
30,management,married,tertiary,no,1476,yes,yes,unknown,3,jun,4,-1,0,unknown,no
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no
35,management,single,tertiary,no,747,no,no,cellular,23,feb,2,176,3,failure,no
36,self-employed,married,tertiary,no,307,yes,no,cellular,14,may,1,330,2,other,no
39,technician,married,secondary,no,147,yes,no,cellular,6,may,2,-1,0,unknown,no
41,entrepreneur,married,tertiary,no,221,yes,no,unknown,14,may,2,-1,0,unknown,no
43,services,married,primary,no,-88,yes,yes,cellular,17,apr,1,147,2,failure,no
39,services,married,secondary,no,9374,yes,no,unknown,20,may,1,-1,0,unknown,no
43,admin.,married,secondary,no,264,yes,no,cellular,17,apr,2,-1,0,unknown,no
36,technician,married,tertiary,no,1109,no,no,cellular,13,aug,2,-1,0,unknown,no
20,student,single,secondary,no,502,no,no,cellular,30,apr,1,-1,0,unknown,yes
31,blue-collar,married,secondary,no,360,yes,yes,cellular,29,jan,1,241,1,failure,no
40,management,married,tertiary,no,194,no,yes,cellular,29,aug,2,-1,0,unknown,no
56,technician,married,secondary,no,4073,no,no,cellular,27,aug,5,-1,0,unknown,no
37,admin.,single,tertiary,no,2317,yes,no,cellular,20,apr,1,152,2,failure,no
25,blue-collar,single,primary,no,-221,yes,no,unknown,23,may,1,-1,0,unknown,no
31,services,married,secondary,no,132,no,no,cellular,7,jul,1,152,1,other,no
38,management,divorced,unknown,no,0,yes,no,cellular,18,nov,2,-1,0,unknown,no
42,management,divorced,tertiary,no,16,no,no,cellular,19,nov,3,-1,0,unknown,no
44,services,single,secondary,no,106,no,no,unknown,12,jun,2,-1,0,unknown,no
44,entrepreneur,married,secondary,no,93,no,no,cellular,7,jul,2,-1,0,unknown,no
26,housemaid,married,tertiary,no,543,no,no,cellular,30,jan,3,-1,0,unknown,no
41,management,married,tertiary,no,5883,no,no,cellular,20,nov,2,-1,0,unknown,no
55,blue-collar,married,primary,no,627,yes,no,unknown,5,may,1,-1,0,unknown,no
67,retired,married,unknown,no,696,no,no,telephone,17,aug,1,105,2,failure,no
56,self-employed,married,secondary,no,784,no,yes,cellular,30,jul,2,-1,0,unknown,no
53,admin.,married,secondary,no,105,no,yes,cellular,21,aug,2,-1,0,unknown,no
68,retired,divorced,secondary,no,4189,no,no,telephone,14,jul,2,-1,0,unknown,yes
31,technician,married,secondary,no,171,no,no,cellular,27,aug,3,-1,0,unknown,no
59,management,married,secondary,no,42,no,no,cellular,21,nov,1,-1,0,unknown,no
32,management,single,tertiary,no,2536,yes,no,cellular,26,aug,6,-1,0,unknown,yes
49,technician,married,tertiary,no,1235,no,no,cellular,13,aug,3,-1,0,unknown,yes
42,admin.,divorced,secondary,no,1811,yes,no,unknown,14,may,1,-1,0,unknown,no
78,retired,divorced,primary,no,229,no,no,telephone,22,oct,1,-1,0,unknown,yes
32,blue-collar,married,secondary,no,2089,yes,no,cellular,14,nov,1,-1,0,unknown,yes
33,management,married,secondary,no,3935,yes,no,cellular,6,may,1,342,2,failure,yes
23,services,single,tertiary,no,363,yes,no,unknown,30,may,18,-1,0,unknown,no
38,management,single,tertiary,no,11971,yes,no,unknown,17,nov,2,101,3,failure,no
36,management,single,tertiary,no,553,no,no,cellular,11,aug,2,-1,0,unknown,no
52,blue-collar,married,secondary,no,1117,yes,no,cellular,13,may,1,-1,0,unknown,no
32,technician,married,tertiary,no,396,yes,no,cellular,13,may,3,-1,0,unknown,no
32,technician,single,tertiary,no,2204,yes,no,cellular,21,nov,4,-1,0,unknown,no
34,management,single,tertiary,no,872,yes,no,unknown,7,may,2,-1,0,unknown,no
55,blue-collar,married,primary,no,145,no,no,telephone,2,feb,3,5,2,other,no
26,blue-collar,married,primary,no,0,yes,no,unknown,21,may,1,-1,0,unknown,no
32,entrepreneur,single,primary,yes,-849,yes,yes,cellular,4,feb,1,-1,0,unknown,no
61,admin.,married,unknown,no,4629,yes,no,cellular,27,jan,1,92,1,success,yes
45,blue-collar,divorced,primary,no,844,no,no,unknown,5,jun,3,-1,0,unknown,yes
37,technician,single,secondary,no,228,yes,no,cellular,20,aug,2,-1,0,unknown,no
38,technician,single,secondary,no,50,no,no,cellular,29,aug,2,-1,0,unknown,no
34,technician,married,tertiary,no,1539,yes,no,cellular,15,jun,1,56,1,other,yes
53,blue-collar,married,secondary,no,2231,yes,no,cellular,14,jul,3,-1,0,unknown,no
48,admin.,married,secondary,no,3064,yes,no,telephone,15,jul,2,-1,0,unknown,no
57,management,married,secondary,no,82,no,yes,telephone,4,feb,1,-1,0,unknown,no
33,self-employed,single,tertiary,no,2155,no,no,cellular,17,nov,1,-1,0,unknown,no
36,retired,single,secondary,no,101,yes,yes,unknown,26,may,1,-1,0,unknown,no
54,technician,divorced,secondary,no,784,yes,yes,unknown,15,may,1,-1,0,unknown,no
41,blue-collar,married,primary,no,-516,no,yes,telephone,8,jul,3,-1,0,unknown,no
63,retired,married,secondary,no,415,yes,no,cellular,7,oct,1,-1,0,unknown,no
48,management,married,tertiary,no,5887,no,no,cellular,13,aug,2,-1,0,unknown,no
48,services,married,secondary,no,1355,no,no,cellular,4,jul,2,-1,0,unknown,no
56,admin.,married,secondary,no,16873,no,no,cellular,7,oct,1,-1,0,unknown,no
51,blue-collar,divorced,secondary,no,203,yes,no,cellular,8,may,1,170,5,failure,no
31,services,married,secondary,no,338,yes,no,cellular,28,jan,1,-1,0,unknown,no
29,technician,married,secondary,no,444,yes,no,cellular,21,jul,4,-1,0,unknown,no
41,management,married,secondary,no,0,no,yes,cellular,7,jul,3,-1,0,unknown,no
32,technician,single,tertiary,no,360,no,no,cellular,19,nov,2,-1,0,unknown,no
37,management,married,tertiary,no,0,no,no,cellular,16,jul,2,182,3,success,yes
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,1,-1,0,unknown,no
31,management,single,tertiary,no,6248,yes,no,unknown,9,may,2,-1,0,unknown,no
41,services,married,tertiary,no,412,yes,no,unknown,3,jun,5,-1,0,unknown,no
56,retired,married,secondary,no,344,yes,no,unknown,15,may,1,-1,0,unknown,no
54,management,divorced,tertiary,no,3222,no,no,cellular,14,aug,2,-1,0,unknown,no
41,blue-collar,divorced,secondary,no,174,yes,no,cellular,14,may,2,297,1,other,no
40,technician,single,secondary,no,591,no,yes,cellular,14,aug,6,-1,0,unknown,no
50,blue-collar,divorced,primary,no,388,no,no,cellular,5,feb,1,-1,0,unknown,no
40,unemployed,married,secondary,no,219,yes,no,cellular,17,nov,2,196,1,failure,no
27,admin.,divorced,secondary,no,451,yes,no,cellular,16,jul,1,-1,0,unknown,yes
60,retired,married,primary,no,5,no,no,cellular,26,aug,2,-1,0,unknown,no
28,admin.,single,secondary,no,177,yes,yes,cellular,6,may,1,-1,0,unknown,no
52,services,married,secondary,no,657,no,no,telephone,7,jul,2,460,2,failure,yes
37,management,married,tertiary,no,1315,no,no,cellular,30,jun,1,-1,0,unknown,yes
51,blue-collar,married,primary,no,1466,yes,no,unknown,7,may,2,-1,0,unknown,no
